rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,5,25.400000000,3.646916506,25.400000000,3.646916506,25.200000000,3.701351105,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,5,40.200000000,7.190271205,40.200000000,7.190271205,40.600000000,7.536577473,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,5,74.200000000,13.682105101,73.800000000,13.809417077,73.800000000,13.809417077,0.400000000,0.547722558,0.000000000,0.000000000,0.400000000,0.547722558,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005634921,0.007717208
699,5,89.000000000,10.908712115,87.800000000,10.663020210,87.600000000,10.430723848,1.200000000,0.447213595,0.000000000,0.000000000,1.200000000,0.447213595,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.013373442,0.003886948
866,5,109.800000000,11.519548602,108.800000000,10.497618778,108.200000000,10.756393448,1.000000000,1.224744871,0.000000000,0.000000000,1.000000000,1.224744871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.008397710,0.009889444
1032,5,126.400000000,9.289779330,123.600000000,9.555103348,123.600000000,8.792041856,2.800000000,1.303840481,0.000000000,0.000000000,2.800000000,1.303840481,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.022325975,0.010648966
1198,5,146.800000000,16.146206985,144.200000000,15.817711592,143.800000000,16.558985476,2.400000000,2.792848009,0.200000000,0.447213595,2.400000000,2.792848009,0.000000000,0.000000000,0.000000000,0.000000000,0.200000000,0.447213595,0.017458777,0.018177628
1365,5,183.400000000,14.328293688,178.800000000,13.330416348,178.600000000,12.581732790,4.200000000,1.643167673,0.400000000,0.547722558,4.200000000,1.643167673,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.547722558,0.024870319,0.005490352
1531,5,196.800000000,6.833739825,191.600000000,6.618156843,193.000000000,6.442049363,4.800000000,2.588435821,0.400000000,0.547722558,4.800000000,2.588435821,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.547722558,0.026349515,0.013050806
1697,5,219.400000000,8.234075540,213.000000000,7.071067812,212.400000000,8.203657721,5.800000000,2.387467277,0.600000000,0.894427191,5.800000000,2.387467277,0.000000000,0.000000000,0.000000000,0.000000000,0.600000000,0.894427191,0.029024852,0.008371560
1864,5,236.600000000,12.381437719,228.200000000,12.637246536,229.000000000,13.784048752,8.000000000,2.828427125,0.400000000,0.894427191,8.000000000,2.828427125,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.894427191,0.035537614,0.013961738
2030,5,265.200000000,10.686440006,256.400000000,11.260550608,256.200000000,12.235195135,8.000000000,2.738612788,0.800000000,0.836660027,8.000000000,2.738612788,0.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.836660027,0.033233364,0.013443444
2197,5,283.800000000,7.120393248,273.600000000,5.366563146,274.600000000,4.774934555,9.600000000,2.190890230,0.600000000,0.547722558,9.600000000,2.190890230,0.000000000,0.000000000,0.000000000,0.000000000,0.600000000,0.547722558,0.035826519,0.006941117
2363,5,314.600000000,14.117365193,302.600000000,12.033287165,304.600000000,11.058933041,11.000000000,2.915475947,1.000000000,1.224744871,11.000000000,2.915475947,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.224744871,0.037926777,0.011063304
2529,5,320.400000000,17.038192392,308.800000000,12.235195135,308.400000000,12.157302332,10.800000000,5.449770637,0.800000000,0.836660027,10.800000000,5.449770637,0.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.836660027,0.035634578,0.016808340
2696,5,354.000000000,21.691011963,337.200000000,17.020575783,338.200000000,17.598295372,16.000000000,4.472135955,0.800000000,1.095445115,16.000000000,4.472135955,0.000000000,0.000000000,0.000000000,0.000000000,0.800000000,1.095445115,0.046918444,0.012900891
2862,5,358.800000000,19.305439648,341.200000000,17.297398648,341.600000000,17.008821241,16.400000000,3.049590136,1.200000000,0.836660027,16.400000000,3.049590136,0.000000000,0.000000000,0.000000000,0.000000000,1.200000000,0.836660027,0.048897108,0.007326736
3029,5,393.000000000,14.282856857,372.200000000,13.141537201,372.400000000,13.520355025,19.200000000,4.919349550,1.600000000,1.140175425,19.200000000,4.919349550,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,1.140175425,0.052854616,0.010306190
3195,5,414.200000000,23.477648945,389.800000000,21.718655575,390.200000000,24.045789652,22.600000000,2.509980080,1.800000000,1.095445115,22.600000000,2.509980080,0.000000000,0.000000000,0.000000000,0.000000000,1.800000000,1.095445115,0.058867613,0.001364406
3361,5,424.800000000,24.752777622,399.400000000,22.501111084,400.200000000,23.080294626,23.600000000,4.159326869,1.800000000,1.643167673,23.600000000,4.159326869,0.000000000,0.000000000,0.000000000,0.000000000,1.800000000,1.643167673,0.059691820,0.004803431
3528,5,455.600000000,15.043270921,429.400000000,11.717508268,429.200000000,11.099549540,24.600000000,6.580273551,1.600000000,1.140175425,24.600000000,6.580273551,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,1.140175425,0.057311301,0.012282393
3694,5,468.200000000,10.084641788,440.000000000,13.322912594,440.600000000,13.296616111,26.600000000,3.646916506,1.600000000,0.547722558,26.600000000,3.646916506,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,0.547722558,0.060367060,0.008678572
3861,5,495.000000000,26.523574420,459.800000000,22.884492566,460.200000000,24.386471660,32.200000000,6.379655163,3.000000000,0.707106781,32.200000000,6.379655163,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.707106781,0.070910859,0.011199012
4027,5,516.800000000,22.432119828,480.600000000,20.206434619,480.400000000,20.378910668,33.000000000,5.000000000,3.200000000,1.788854382,33.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.200000000,1.788854382,0.069986540,0.006140656
