rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,6.500000000,3.109126351,780.000000000,373.095162124,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,4,40.000000000,8.286535263,40.000000000,8.286535263,17.750000000,6.500000000,2130.000000000,780.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,4,74.750000000,15.734781007,74.500000000,15.800843859,44.250000000,12.065791865,5310.000000000,1447.895023819,0.250000000,0.500000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003472222,0.006944444
699,4,86.250000000,10.404326023,85.500000000,10.847426730,55.000000000,8.831760866,6600.000000000,1059.811303959,0.750000000,0.500000000,0.000000000,0.000000000,0.750000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.009216803,0.006188172
866,4,108.250000000,12.685293322,107.750000000,11.870832602,76.500000000,12.714820749,9180.000000000,1525.778489821,0.500000000,1.000000000,0.000000000,0.000000000,0.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004032258,0.008064516
1032,4,125.000000000,10.099504938,123.500000000,10.785793125,95.000000000,9.018499506,11400.000000000,1082.219940677,1.500000000,1.000000000,0.000000000,0.000000000,1.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.012385610,0.009145050
1198,4,151.000000000,15.165750888,149.500000000,15.110702609,125.000000000,15.165750888,15000.000000000,1819.890106572,1.500000000,1.732050808,0.000000000,0.000000000,1.500000000,1.732050808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.009901723,0.010726492
1365,4,186.750000000,14.103781999,184.250000000,12.971121771,155.500000000,15.000000000,18660.000000000,1800.000000000,2.250000000,2.629955640,0.250000000,0.500000000,2.250000000,2.629955640,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.013070464,0.013227255
1531,4,196.750000000,7.889866919,193.750000000,7.632168761,172.500000000,9.746794345,20700.000000000,1169.615321377,2.750000000,1.500000000,0.250000000,0.500000000,2.750000000,1.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.015205573,0.007121485
1697,4,216.000000000,3.651483717,212.500000000,2.645751311,189.750000000,6.898067362,22770.000000000,827.768083463,3.250000000,1.707825128,0.250000000,0.500000000,3.250000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.016131542,0.007902475
1864,4,233.750000000,12.257650672,229.500000000,9.949874371,208.000000000,9.966610925,24960.000000000,1195.993311018,3.750000000,2.629955640,0.500000000,0.577350269,3.750000000,2.629955640,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.017802716,0.012319544
2030,4,268.000000000,10.000000000,262.000000000,12.247448714,241.500000000,9.398581453,28980.000000000,1127.829774390,5.750000000,2.217355783,0.250000000,0.500000000,5.750000000,2.217355783,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.022642073,0.011153947
2197,4,283.250000000,8.098353742,278.000000000,8.286535263,258.250000000,5.737304826,30990.000000000,688.476579122,5.250000000,1.892969449,0.000000000,0.000000000,5.250000000,1.892969449,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018541648,0.006638778
2363,4,315.750000000,16.028620236,310.500000000,15.588457268,294.500000000,15.351438586,35340.000000000,1842.172630347,5.250000000,2.061552813,0.000000000,0.000000000,5.250000000,2.061552813,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.016596568,0.006457620
2529,4,321.500000000,19.467922334,315.750000000,16.028620236,298.250000000,13.175102783,35790.000000000,1581.012333918,5.500000000,4.041451884,0.250000000,0.500000000,5.500000000,4.041451884,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.017450980,0.011545052
2696,4,350.250000000,23.099422792,340.250000000,20.056171120,326.250000000,21.391197567,39150.000000000,2566.943707992,9.000000000,4.320493799,1.000000000,1.154700538,9.000000000,4.320493799,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.154700538,0.028208754,0.007979875
2862,4,367.250000000,4.573474245,357.250000000,3.774917218,338.750000000,3.593976442,40650.000000000,431.277173057,9.250000000,0.957427108,0.750000000,1.500000000,9.250000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,1.500000000,0.027201538,0.005638376
3029,4,393.500000000,16.441816607,386.000000000,17.492855685,369.250000000,18.625699092,44310.000000000,2235.083891043,6.750000000,2.061552813,0.750000000,0.500000000,6.750000000,2.061552813,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.500000000,0.019153111,0.006440285
3195,4,413.250000000,26.998456746,400.500000000,27.958302285,384.500000000,27.634519476,46140.000000000,3316.142337114,12.500000000,2.380476143,0.250000000,0.500000000,12.500000000,2.380476143,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.031065764,0.005895894
3361,4,419.500000000,25.093159759,407.000000000,22.375581929,394.000000000,24.508501926,47280.000000000,2941.020231144,11.250000000,3.862210075,1.250000000,0.500000000,11.250000000,3.862210075,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,0.500000000,0.029575967,0.007513919
3528,4,459.250000000,14.591664287,444.500000000,14.662878299,431.000000000,14.352700094,51720.000000000,1722.324011329,14.000000000,4.163331999,0.750000000,0.500000000,14.000000000,4.163331999,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.500000000,0.032120525,0.007992953
3694,4,471.000000000,9.128709292,457.000000000,10.230672835,445.500000000,10.472185382,53460.000000000,1256.662245792,13.500000000,3.696845502,0.500000000,0.577350269,13.500000000,3.696845502,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.029750134,0.006824980
3861,4,488.000000000,24.725155881,468.750000000,26.512575632,456.000000000,28.786570943,54720.000000000,3454.388513181,17.500000000,2.380476143,1.750000000,1.707825128,17.500000000,2.380476143,0.000000000,0.000000000,0.000000000,0.000000000,1.750000000,1.707825128,0.039639261,0.009031788
4027,4,520.500000000,24.076267706,500.750000000,21.171915360,486.500000000,17.253019059,58380.000000000,2070.362287137,18.250000000,4.349329450,1.500000000,1.000000000,18.250000000,4.349329450,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.000000000,0.037793325,0.007926567
4193,4,537.500000000,9.949874371,517.000000000,12.675435561,506.750000000,11.701139546,60810.000000000,1404.136745477,18.250000000,3.095695937,2.250000000,2.629955640,18.250000000,3.095695937,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,2.629955640,0.038202876,0.008656688
4360,4,557.250000000,19.067861268,534.500000000,15.286159317,523.750000000,15.692354826,62850.000000000,1883.082579177,20.750000000,4.573474245,2.000000000,1.154700538,20.750000000,4.573474245,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,1.154700538,0.040664307,0.008640223
4526,4,565.250000000,24.878035828,543.000000000,23.079572497,533.500000000,24.501700621,64020.000000000,2940.204074550,21.500000000,2.886751346,0.750000000,0.957427108,21.500000000,2.886751346,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.039310227,0.003918411
4692,4,580.000000000,30.309514458,553.500000000,23.671361037,543.250000000,23.171462333,65190.000000000,2780.575480004,22.250000000,6.184658438,4.250000000,1.892969449,22.250000000,6.184658438,0.000000000,0.000000000,0.000000000,0.000000000,4.250000000,1.892969449,0.045327269,0.011382611
4859,4,611.000000000,10.862780491,585.000000000,6.164414003,575.750000000,6.130524719,69090.000000000,735.662966310,23.750000000,4.787135539,2.250000000,1.258305739,23.750000000,4.787135539,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,1.258305739,0.042454467,0.008034627
5025,4,641.000000000,7.831560083,616.500000000,6.952217872,606.500000000,7.767453465,72780.000000000,932.094415818,21.750000000,4.500000000,2.750000000,2.217355783,21.750000000,4.500000000,0.000000000,0.000000000,0.000000000,0.000000000,2.750000000,2.217355783,0.038208660,0.003491464
5192,4,637.250000000,38.724453945,608.500000000,36.013886211,599.500000000,32.929217017,71940.000000000,3951.506042005,24.750000000,6.946221995,4.000000000,0.816496581,24.750000000,6.946221995,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.816496581,0.044980347,0.010855100
5358,4,688.000000000,21.369760566,656.750000000,22.559181427,651.000000000,20.281354327,78120.000000000,2433.762519228,27.500000000,2.081665999,3.750000000,0.957427108,27.500000000,2.081665999,0.000000000,0.000000000,0.000000000,0.000000000,3.750000000,0.957427108,0.045489268,0.004314948
5524,4,712.500000000,34.693899560,674.750000000,35.500000000,667.250000000,39.660013448,80070.000000000,4759.201613716,34.000000000,6.480740698,3.750000000,0.957427108,34.000000000,6.480740698,0.000000000,0.000000000,0.000000000,0.000000000,3.750000000,0.957427108,0.053083424,0.010674513
5691,4,740.500000000,27.598309127,698.500000000,27.742866951,691.250000000,26.310644234,82950.000000000,3157.277308061,38.250000000,7.455423082,3.750000000,2.753785274,38.250000000,7.455423082,0.000000000,0.000000000,0.000000000,0.000000000,3.750000000,2.753785274,0.056753620,0.008083838
5857,4,765.000000000,40.348482004,721.000000000,35.842246953,711.250000000,35.789896153,85350.000000000,4294.787538400,39.250000000,8.845903006,4.750000000,2.872281323,39.250000000,8.845903006,0.000000000,0.000000000,0.000000000,0.000000000,4.750000000,2.872281323,0.057379170,0.007792351
6024,4,767.250000000,35.780581326,726.250000000,30.148244836,717.000000000,30.778780569,86040.000000000,3693.453668316,36.500000000,7.047458171,4.500000000,2.081665999,36.500000000,7.047458171,0.000000000,0.000000000,0.000000000,0.000000000,4.500000000,2.081665999,0.053261139,0.007672518
6190,4,768.500000000,17.097758138,724.750000000,17.500000000,717.500000000,18.339392938,86100.000000000,2200.727152557,38.500000000,6.608075867,5.250000000,2.629955640,38.500000000,6.608075867,0.000000000,0.000000000,0.000000000,0.000000000,5.250000000,2.629955640,0.056945261,0.005916880
6356,4,785.500000000,31.838132274,742.000000000,32.659863237,738.500000000,30.358963531,88620.000000000,3643.075623700,38.250000000,5.188127472,5.250000000,2.986078811,38.250000000,5.188127472,0.000000000,0.000000000,0.000000000,0.000000000,5.250000000,2.986078811,0.055447920,0.009370587
6523,4,863.000000000,29.234682599,806.750000000,21.777281740,802.750000000,23.157072354,96330.000000000,2778.848682458,50.000000000,7.788880964,6.250000000,1.707825128,50.000000000,7.788880964,0.000000000,0.000000000,0.000000000,0.000000000,6.250000000,1.707825128,0.065009214,0.007882833
