rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,5,25.400000000,3.646916506,25.400000000,3.646916506,5.400000000,2.607680962,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,5,40.200000000,7.190271205,40.200000000,7.190271205,18.200000000,5.718391382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,5,74.200000000,13.682105101,74.000000000,13.729530218,44.000000000,10.464224768,0.200000000,0.447213595,0.000000000,0.000000000,0.200000000,0.447213595,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002777778,0.006211300
699,5,89.000000000,10.908712115,88.400000000,11.414902540,57.200000000,9.093954036,0.600000000,0.547722558,0.000000000,0.000000000,0.600000000,0.547722558,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.007373442,0.006760917
866,5,109.800000000,11.519548602,109.200000000,10.779610383,78.000000000,11.661903790,0.600000000,0.894427191,0.000000000,0.000000000,0.600000000,0.894427191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004949944,0.007279290
1032,5,126.400000000,9.289779330,125.000000000,9.924716621,97.000000000,9.273618495,1.400000000,0.894427191,0.000000000,0.000000000,1.400000000,0.894427191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011423639,0.008206759
1198,5,146.800000000,16.146206985,145.200000000,16.161683081,119.600000000,17.067513000,1.400000000,1.516575089,0.200000000,0.447213595,1.400000000,1.516575089,0.000000000,0.000000000,0.000000000,0.000000000,0.200000000,0.447213595,0.010941322,0.009520602
1365,5,183.400000000,14.328293688,181.000000000,12.845232579,153.200000000,13.405222863,2.000000000,2.345207880,0.400000000,0.547722558,2.000000000,2.345207880,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.547722558,0.012618064,0.013804152
1531,5,196.800000000,6.833739825,194.400000000,6.949820142,174.400000000,9.289779330,2.400000000,0.894427191,0.000000000,0.000000000,2.400000000,0.894427191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.012212968,0.004594110
1697,5,219.400000000,8.234075540,216.000000000,7.745966692,191.000000000,8.306623863,3.200000000,1.483239697,0.200000000,0.447213595,3.200000000,1.483239697,0.000000000,0.000000000,0.000000000,0.000000000,0.200000000,0.447213595,0.015429619,0.006855273
1864,5,236.600000000,12.381437719,232.200000000,10.281050530,211.000000000,11.000000000,3.400000000,2.408318916,1.000000000,1.000000000,3.400000000,2.408318916,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.018222615,0.012061669
2030,5,265.200000000,10.686440006,260.200000000,11.344602241,238.600000000,9.762171889,4.600000000,2.509980080,0.400000000,0.894427191,4.600000000,2.509980080,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.894427191,0.018901060,0.012778254
2197,5,283.800000000,7.120393248,278.000000000,6.892024376,258.000000000,4.527692569,4.800000000,1.923538406,1.000000000,1.000000000,4.800000000,1.923538406,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.020411149,0.006668090
2363,5,314.600000000,14.117365193,308.600000000,13.408952233,293.600000000,12.895735729,5.400000000,1.816590212,0.600000000,0.547722558,5.400000000,1.816590212,0.000000000,0.000000000,0.000000000,0.000000000,0.600000000,0.547722558,0.019011674,0.006118886
2529,5,320.400000000,17.038192392,315.000000000,13.928388277,295.600000000,12.700393695,5.000000000,3.535533906,0.400000000,0.547722558,5.000000000,3.535533906,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.547722558,0.016490421,0.009717084
2696,5,354.000000000,21.691011963,344.200000000,17.484278653,329.200000000,18.157643019,8.600000000,3.847076812,1.200000000,1.643167673,8.600000000,3.847076812,0.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.643167673,0.027147195,0.013204487
2862,5,358.800000000,19.305439648,350.000000000,16.733200531,331.800000000,15.514509338,8.200000000,2.489979920,0.600000000,0.894427191,8.200000000,2.489979920,0.000000000,0.000000000,0.000000000,0.000000000,0.600000000,0.894427191,0.024250564,0.006969452
3029,5,393.000000000,14.282856857,384.800000000,15.122830423,366.600000000,17.242389626,7.000000000,2.345207880,1.200000000,1.643167673,7.000000000,2.345207880,0.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.643167673,0.020930741,0.006910428
3195,5,414.200000000,23.477648945,400.600000000,24.439721766,384.800000000,24.570307283,11.800000000,2.280350850,1.800000000,1.303840481,11.800000000,2.280350850,0.000000000,0.000000000,0.000000000,0.000000000,1.800000000,1.303840481,0.033016943,0.007533733
3361,5,424.800000000,24.752777622,412.400000000,22.611943747,399.600000000,23.006520815,11.000000000,3.316624790,1.400000000,1.140175425,11.000000000,3.316624790,0.000000000,0.000000000,0.000000000,0.000000000,1.400000000,1.140175425,0.029025559,0.005667879
3528,5,455.600000000,15.043270921,441.400000000,14.275853740,428.400000000,13.296616111,12.600000000,4.774934555,1.600000000,0.894427191,12.600000000,4.774934555,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,0.894427191,0.031110872,0.009754620
3694,5,468.200000000,10.084641788,454.200000000,11.649034295,441.800000000,13.160547101,13.200000000,3.492849839,0.800000000,0.447213595,13.200000000,3.492849839,0.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.447213595,0.029946419,0.008203031
3861,5,495.000000000,26.523574420,474.200000000,26.233566284,462.600000000,29.108418026,17.800000000,2.949576241,3.000000000,1.870828693,17.800000000,2.949576241,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,1.870828693,0.042083968,0.004481989
4027,5,516.800000000,22.432119828,497.800000000,20.315019075,484.000000000,16.537835409,17.800000000,3.701351105,1.200000000,1.643167673,17.800000000,3.701351105,0.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.643167673,0.036660278,0.007222269
4193,5,535.400000000,9.813256340,514.400000000,11.371015786,503.600000000,12.521980674,19.200000000,3.420526275,1.800000000,0.836660027,19.200000000,3.420526275,0.000000000,0.000000000,0.000000000,0.000000000,1.800000000,0.836660027,0.039265629,0.006195627
4360,5,557.600000000,16.531787562,535.000000000,12.806248475,523.400000000,14.046351840,20.600000000,4.449719092,2.000000000,1.000000000,20.600000000,4.449719092,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,1.000000000,0.040392183,0.006530540
4526,5,570.200000000,24.221890925,546.600000000,23.586012804,536.800000000,25.063918289,21.200000000,2.588435821,2.400000000,1.140175425,21.200000000,2.588435821,0.000000000,0.000000000,0.000000000,0.000000000,2.400000000,1.140175425,0.041406181,0.002940206
4692,5,592.400000000,38.181147180,566.800000000,32.660373543,557.400000000,34.238866804,22.400000000,5.941380311,3.200000000,2.167948339,22.400000000,5.941380311,0.000000000,0.000000000,0.000000000,0.000000000,3.200000000,2.167948339,0.042863781,0.009311428
