rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,5.750000000,2.872281323,690.000000000,344.673758792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,4,40.000000000,8.286535263,40.000000000,8.286535263,17.750000000,6.500000000,2130.000000000,780.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,4,74.750000000,15.734781007,74.750000000,15.734781007,44.500000000,11.958260743,5340.000000000,1434.991289172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
699,4,86.250000000,10.404326023,86.250000000,10.404326023,55.750000000,8.381527307,6690.000000000,1005.783276854,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
866,4,108.250000000,12.685293322,108.250000000,12.685293322,76.750000000,13.475286020,9210.000000000,1617.034322456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1032,4,125.000000000,10.099504938,124.500000000,9.678154094,95.750000000,7.847504911,11490.000000000,941.700589359,0.500000000,0.577350269,0.000000000,0.000000000,0.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003814690,0.004419130
1198,4,151.000000000,15.165750888,150.250000000,15.195942441,125.000000000,15.979153086,15000.000000000,1917.498370273,0.500000000,1.000000000,0.250000000,0.500000000,0.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.004996506,0.006143587
1365,4,186.750000000,14.103781999,185.500000000,13.025615788,157.000000000,14.854853303,18840.000000000,1782.582396413,0.750000000,1.500000000,0.500000000,0.577350269,0.750000000,1.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.006388097,0.009295736
1531,4,196.750000000,7.889866919,195.500000000,7.325753659,174.750000000,9.742518497,20970.000000000,1169.102219654,1.250000000,0.957427108,0.000000000,0.000000000,1.250000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.006270656,0.004725647
1697,4,216.000000000,3.651483717,215.000000000,4.082482905,191.250000000,7.588368292,22950.000000000,910.604195027,0.750000000,0.957427108,0.250000000,0.500000000,0.750000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.004641037,0.006608782
1864,4,233.750000000,12.257650672,230.750000000,9.742518497,209.250000000,9.912113801,25110.000000000,1189.453656096,2.250000000,1.707825128,0.750000000,0.957427108,2.250000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.012434641,0.010414536
2030,4,268.000000000,10.000000000,263.750000000,11.870832602,242.750000000,8.808140174,29130.000000000,1056.976820938,3.750000000,2.061552813,0.500000000,1.000000000,3.750000000,2.061552813,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,1.000000000,0.016053733,0.011413209
2197,4,283.250000000,8.098353742,279.750000000,7.804912983,260.000000000,5.477225575,31200.000000000,657.267069006,2.750000000,1.707825128,0.750000000,0.957427108,2.750000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.012326814,0.006026682
2363,4,315.750000000,16.028620236,313.250000000,14.863265680,297.250000000,14.361406616,35670.000000000,1723.368793961,2.000000000,0.816496581,0.500000000,0.577350269,2.000000000,0.816496581,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.007793441,0.003697557
2529,4,321.500000000,19.467922334,317.500000000,16.980380836,299.500000000,14.059397806,35940.000000000,1687.127736717,3.500000000,2.516611478,0.500000000,0.577350269,3.500000000,2.516611478,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.012133520,0.008185443
2696,4,350.250000000,23.099422792,346.000000000,20.396078054,331.500000000,21.748563171,39780.000000000,2609.827580512,3.500000000,2.645751311,0.750000000,1.500000000,3.500000000,2.645751311,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,1.500000000,0.011772804,0.010496787
2862,4,367.250000000,4.573474245,361.500000000,4.654746681,342.750000000,4.349329450,41130.000000000,521.919534028,5.000000000,1.154700538,0.750000000,0.957427108,5.000000000,1.154700538,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.015660194,0.001396807
3029,4,393.500000000,16.441816607,388.250000000,16.997548843,370.500000000,19.433647796,44460.000000000,2332.037735544,3.750000000,1.707825128,1.500000000,1.732050808,3.750000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.732050808,0.013386962,0.006924506
3195,4,413.250000000,26.998456746,405.500000000,29.580398915,389.250000000,29.612778773,46710.000000000,3553.533452776,5.500000000,3.000000000,2.250000000,0.957427108,5.500000000,3.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,0.957427108,0.019116276,0.009714867
3361,4,419.500000000,25.093159759,413.750000000,23.142673427,401.000000000,23.734644159,48120.000000000,2848.157299027,4.500000000,3.109126351,1.250000000,1.258305739,4.500000000,3.109126351,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,1.258305739,0.013530837,0.004875512
3528,4,459.250000000,14.591664287,450.750000000,14.773286703,437.250000000,14.660036380,52470.000000000,1759.204365615,7.000000000,1.632993162,1.500000000,1.000000000,7.000000000,1.632993162,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.000000000,0.018529591,0.002334321
3694,4,471.000000000,9.128709292,464.750000000,8.808140174,453.500000000,9.291573243,54420.000000000,1114.988789181,5.500000000,2.645751311,0.750000000,0.500000000,5.500000000,2.645751311,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.500000000,0.013249567,0.005837945
3861,4,488.000000000,24.725155881,476.500000000,23.101226519,463.500000000,23.979157617,55620.000000000,2877.498913988,8.250000000,2.061552813,3.250000000,2.061552813,8.250000000,2.061552813,0.000000000,0.000000000,0.000000000,0.000000000,3.250000000,2.061552813,0.023459643,0.007933295
4027,4,520.500000000,24.076267706,510.500000000,24.569628948,496.000000000,20.575065816,59520.000000000,2469.007897922,8.500000000,1.732050808,1.500000000,1.732050808,8.500000000,1.732050808,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.732050808,0.019264327,0.005733683
4193,4,537.500000000,9.949874371,525.500000000,9.036961141,515.250000000,10.531698185,61830.000000000,1263.803782238,10.250000000,1.500000000,1.750000000,0.957427108,10.250000000,1.500000000,0.000000000,0.000000000,0.000000000,0.000000000,1.750000000,0.957427108,0.022305459,0.002799499
4360,4,557.250000000,19.067861268,543.750000000,16.660832312,532.250000000,17.576025338,63870.000000000,2109.123040508,11.250000000,3.593976442,2.250000000,0.957427108,11.250000000,3.593976442,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,0.957427108,0.024129349,0.004983320
4526,4,565.250000000,24.878035828,550.000000000,27.141603981,540.000000000,28.879058156,64800.000000000,3465.486978766,12.500000000,1.732050808,2.750000000,1.258305739,12.500000000,1.732050808,0.000000000,0.000000000,0.000000000,0.000000000,2.750000000,1.258305739,0.027142078,0.005828690
4692,4,580.000000000,30.309514458,565.000000000,27.215191836,554.750000000,27.354158733,66570.000000000,3282.499047982,12.250000000,3.304037934,2.750000000,1.892969449,12.250000000,3.304037934,0.000000000,0.000000000,0.000000000,0.000000000,2.750000000,1.892969449,0.025707958,0.004830375
4859,4,611.000000000,10.862780491,599.000000000,7.527726527,589.250000000,8.098353742,70710.000000000,971.802449061,9.250000000,4.573474245,2.750000000,0.957427108,9.250000000,4.573474245,0.000000000,0.000000000,0.000000000,0.000000000,2.750000000,0.957427108,0.019555634,0.008224959
5025,4,641.000000000,7.831560083,626.250000000,9.639329161,616.500000000,10.754843870,73980.000000000,1290.581264392,11.750000000,4.272001873,3.000000000,1.414213562,11.750000000,4.272001873,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,1.414213562,0.023016995,0.008153556
5192,4,637.250000000,38.724453945,623.250000000,38.378596466,614.750000000,35.733970765,73770.000000000,4288.076491855,9.250000000,0.957427108,4.750000000,3.201562119,9.250000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,4.750000000,3.201562119,0.022000092,0.006363613
5358,4,688.000000000,21.369760566,670.750000000,25.131321759,664.750000000,24.074537033,79770.000000000,2888.944443910,12.000000000,2.943920289,5.250000000,1.500000000,12.000000000,2.943920289,0.000000000,0.000000000,0.000000000,0.000000000,5.250000000,1.500000000,0.025214605,0.006634516
5524,4,712.500000000,34.693899560,692.000000000,34.880749227,685.500000000,38.725529908,82260.000000000,4647.063588977,17.000000000,3.366501646,3.500000000,1.732050808,17.000000000,3.366501646,0.000000000,0.000000000,0.000000000,0.000000000,3.500000000,1.732050808,0.028829288,0.003415849
5691,4,740.500000000,27.598309127,717.500000000,32.015621187,710.500000000,29.760152329,85260.000000000,3571.218279523,18.500000000,0.577350269,4.500000000,4.123105626,18.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,4.500000000,4.123105626,0.031260837,0.007361088
5857,4,765.000000000,40.348482004,741.500000000,41.476901202,731.750000000,42.890364108,87810.000000000,5146.843692983,18.000000000,5.597618541,5.500000000,2.645751311,18.000000000,5.597618541,0.000000000,0.000000000,0.000000000,0.000000000,5.500000000,2.645751311,0.030824625,0.007635282
6024,4,767.250000000,35.780581326,744.750000000,31.138133106,735.250000000,32.653483735,88230.000000000,3918.418048141,17.500000000,4.795831523,5.000000000,0.816496581,17.500000000,4.795831523,0.000000000,0.000000000,0.000000000,0.000000000,5.000000000,0.816496581,0.029159560,0.005647358
6190,4,768.500000000,17.097758138,744.750000000,17.914147110,736.750000000,19.822125685,88410.000000000,2378.655082184,19.250000000,2.500000000,4.500000000,0.577350269,19.000000000,2.449489743,0.000000000,0.000000000,0.250000000,0.500000000,4.500000000,0.577350269,0.030927902,0.004006079
6356,4,785.500000000,31.838132274,763.500000000,30.248966925,761.000000000,26.658332031,91320.000000000,3198.999843701,17.000000000,6.271629241,5.000000000,3.366501646,17.000000000,6.271629241,0.000000000,0.000000000,0.000000000,0.000000000,5.000000000,3.366501646,0.027970068,0.005285886
6523,4,863.000000000,29.234682599,830.000000000,21.166010489,824.750000000,21.639085008,98970.000000000,2596.690201006,25.000000000,6.000000000,8.000000000,2.828427125,25.000000000,6.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.000000000,2.828427125,0.038037100,0.007942020
6689,4,837.750000000,32.988634406,807.250000000,33.320414163,805.250000000,36.745748053,96630.000000000,4409.489766402,23.750000000,5.315072906,6.750000000,2.872281323,23.750000000,5.315072906,0.000000000,0.000000000,0.000000000,0.000000000,6.750000000,2.872281323,0.036452315,0.006056725
