rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,5.750000000,2.872281323,690.000000000,344.673758792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,4,40.000000000,8.286535263,40.000000000,8.286535263,17.750000000,6.500000000,2130.000000000,780.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,4,74.750000000,15.734781007,74.750000000,15.734781007,44.250000000,12.065791865,5310.000000000,1447.895023819,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
699,4,86.250000000,10.404326023,86.000000000,10.739335796,55.250000000,9.105858920,6630.000000000,1092.703070372,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.003289474,0.006578947
866,4,108.250000000,12.685293322,107.750000000,11.870832602,75.750000000,11.926860442,9090.000000000,1431.223253025,0.000000000,0.000000000,0.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,1.000000000,0.004032258,0.008064516
1032,4,125.000000000,10.099504938,125.000000000,10.099504938,94.750000000,8.995369179,11392.750000000,1082.726304289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1198,4,151.000000000,15.165750888,149.750000000,16.459546369,123.250000000,17.192537141,14833.750000000,2075.825679097,0.000000000,0.000000000,1.250000000,1.892969449,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,1.892969449,0.008979734,0.014082233
1365,4,186.750000000,14.103781999,184.000000000,12.935738608,153.500000000,12.261049438,18514.500000000,1512.871992822,0.000000000,0.000000000,2.750000000,3.593976442,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.750000000,3.593976442,0.014287737,0.018555089
1531,4,196.750000000,7.889866919,195.250000000,8.539125638,172.000000000,11.401754251,20708.250000000,1384.257291836,0.000000000,0.000000000,1.500000000,2.380476143,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,2.380476143,0.007672888,0.012139797
1697,4,216.000000000,3.651483717,215.500000000,4.203173404,189.000000000,7.788880964,22800.750000000,974.069256607,0.000000000,0.000000000,0.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.002347470,0.002710684
1864,4,233.750000000,12.257650672,231.500000000,9.469248474,207.000000000,7.302967433,24974.750000000,882.016014594,0.000000000,0.000000000,2.250000000,3.862210075,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,3.862210075,0.009134510,0.015625682
2030,4,268.000000000,10.000000000,266.500000000,9.882644720,240.250000000,8.341662504,29024.250000000,943.449124225,0.000000000,0.000000000,1.500000000,1.290994449,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.290994449,0.005585286,0.004703929
2197,4,283.250000000,8.098353742,278.750000000,6.238322424,254.250000000,3.862210075,30622.000000000,420.946552427,0.000000000,0.000000000,4.500000000,4.434711565,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.500000000,4.434711565,0.015679025,0.015453645
2363,4,315.750000000,16.028620236,310.000000000,16.103829772,289.750000000,16.152915114,34911.750000000,1903.460598489,0.000000000,0.000000000,5.750000000,3.593976442,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.750000000,3.593976442,0.018218124,0.011176138
2529,4,321.500000000,19.467922334,317.250000000,13.047988351,294.750000000,7.889866919,35496.000000000,1020.557690677,0.000000000,0.000000000,4.250000000,6.652067348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.250000000,6.652067348,0.012380952,0.018952142
2696,4,350.250000000,23.099422792,332.250000000,22.618208004,310.750000000,21.639085008,37533.250000000,2693.087493937,0.000000000,0.000000000,18.000000000,9.626352719,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,18.000000000,9.626352719,0.051272576,0.026105956
2862,4,367.250000000,4.573474245,361.500000000,8.062257748,334.750000000,9.069178574,40413.250000000,1136.697665755,0.000000000,0.000000000,5.750000000,6.075908711,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.750000000,6.075908711,0.015677095,0.016546072
3029,4,393.500000000,16.441816607,385.000000000,16.227548593,361.250000000,20.172175556,43523.250000000,2322.870404622,0.250000000,0.500000000,8.250000000,8.539125638,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,8.250000000,8.539125638,0.021418670,0.022916869
3195,4,413.250000000,26.998456746,407.000000000,23.804761428,380.000000000,23.266571155,46013.000000000,2824.206201159,0.000000000,0.000000000,6.250000000,3.304037934,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6.250000000,3.304037934,0.014791363,0.007027437
3361,4,419.500000000,25.093159759,408.750000000,25.773047938,386.250000000,24.295061227,46701.750000000,2958.231157860,0.000000000,0.000000000,10.750000000,6.291528696,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,10.750000000,6.291528696,0.025699788,0.014802106
3528,4,459.250000000,14.591664287,433.250000000,23.128265535,408.250000000,23.228933108,49242.000000000,2798.999821365,0.000000000,0.000000000,26.000000000,19.356308188,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.000000000,19.356308188,0.056571896,0.041098433
3694,4,471.000000000,9.128709292,454.250000000,32.877297131,431.750000000,26.973752674,52146.000000000,3361.450579735,0.250000000,0.500000000,16.500000000,24.691429012,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,16.500000000,24.691429012,0.036249003,0.053370490
3861,4,488.000000000,24.725155881,457.500000000,29.274562337,429.500000000,27.982137159,52009.000000000,3458.765290293,0.250000000,0.500000000,30.250000000,10.436314803,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,30.250000000,10.436314803,0.062839270,0.021416901
4027,4,520.500000000,24.076267706,502.750000000,21.250490190,473.250000000,13.961255913,57372.750000000,1754.154758471,0.250000000,0.500000000,17.500000000,12.288205727,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,17.500000000,12.288205727,0.033759804,0.022986772
4193,4,537.500000000,9.949874371,508.000000000,27.055498517,483.000000000,29.291637032,58322.250000000,3508.599091280,0.000000000,0.000000000,29.500000000,19.941581348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,29.500000000,19.941581348,0.055205283,0.037855006
4360,4,557.250000000,19.067861268,538.250000000,10.144785196,510.250000000,9.178779875,61725.250000000,1068.171763654,0.000000000,0.000000000,19.000000000,9.201449161,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,19.000000000,9.201449161,0.033698320,0.015775612
4526,4,565.250000000,24.878035828,549.500000000,15.286159317,521.750000000,14.522970311,63280.250000000,1849.794830965,0.500000000,0.577350269,15.250000000,12.010412149,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,15.250000000,12.010412149,0.027271546,0.021132080
4692,4,580.000000000,30.309514458,544.750000000,28.929512036,516.500000000,30.160680806,62541.750000000,3575.273917245,0.250000000,0.500000000,35.000000000,29.291637032,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,35.000000000,29.291637032,0.059913846,0.048649966
4859,4,611.000000000,10.862780491,564.500000000,31.628046625,536.500000000,27.838821814,65036.250000000,3472.824630854,0.000000000,0.000000000,46.500000000,21.992422938,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,46.500000000,21.992422938,0.076523680,0.037316413
5025,4,641.000000000,7.831560083,594.750000000,15.945218719,566.750000000,13.375973485,68493.000000000,1717.947418675,0.250000000,0.500000000,46.000000000,20.379728490,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,46.000000000,20.379728490,0.071956369,0.031091599
5192,4,637.250000000,38.724453945,590.750000000,48.217389671,562.250000000,45.287047449,68273.250000000,5542.358124782,0.500000000,0.577350269,46.000000000,31.591137998,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,46.000000000,31.591137998,0.072943259,0.048400501
5358,4,688.000000000,21.369760566,636.000000000,13.291601358,607.750000000,11.441882130,73766.500000000,1345.932514405,0.250000000,0.500000000,51.750000000,19.771612647,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,51.750000000,19.771612647,0.075101370,0.027392043
5524,4,712.500000000,34.693899560,634.750000000,44.858109635,601.750000000,43.492336490,73069.250000000,5397.347087536,1.250000000,0.957427108,76.500000000,33.808283009,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,0.957427108,76.500000000,33.808283009,0.109024862,0.050098897
5691,4,740.500000000,27.598309127,678.500000000,31.053716900,640.750000000,31.468237955,77931.250000000,3640.876302485,0.250000000,0.500000000,61.750000000,30.717801571,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,61.750000000,30.717801571,0.083302569,0.039664794
5857,4,765.000000000,40.348482004,696.250000000,33.119732286,657.250000000,31.962217278,79823.750000000,3927.151162102,0.500000000,0.577350269,68.250000000,23.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,68.250000000,23.500000000,0.089340047,0.029135762
6024,4,767.250000000,35.780581326,678.000000000,64.441187657,640.750000000,63.452738318,77878.750000000,7657.716560220,0.250000000,0.500000000,89.000000000,31.336879232,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,89.000000000,31.336879232,0.117726041,0.045615484
6190,4,768.500000000,17.097758138,676.500000000,25.013329780,637.000000000,29.359836512,77418.250000000,3551.844907932,1.000000000,0.816496581,91.000000000,13.490737563,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.816496581,91.000000000,13.490737563,0.119863057,0.017983760
6356,4,785.500000000,31.838132274,692.000000000,28.612351645,660.250000000,32.366392035,80318.500000000,3878.994070632,1.250000000,1.258305739,92.250000000,49.828873825,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,1.258305739,92.250000000,49.828873825,0.117582663,0.058354347
6523,4,863.000000000,29.234682599,790.750000000,14.221462653,747.000000000,17.262676502,91139.750000000,1829.694031799,1.000000000,1.154700538,71.250000000,27.681221071,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.154700538,71.250000000,27.681221071,0.083083707,0.029545133
6689,4,837.750000000,32.988634406,767.250000000,54.871820333,727.250000000,60.306854226,88642.000000000,7081.609186242,1.250000000,1.500000000,69.250000000,24.308777564,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,1.500000000,69.250000000,24.308777564,0.084905010,0.032866462
