rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,5.750000000,2.872281323,690.000000000,344.673758792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
422,4,53.250000000,5.909032634,53.250000000,5.909032634,28.500000000,6.137317547,3420.000000000,736.478105581,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
645,4,82.250000000,14.150971698,81.750000000,15.107944930,53.500000000,9.746794345,6420.000000000,1169.615321377,0.000000000,0.000000000,0.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,1.000000000,0.008064516,0.016129032
867,4,109.750000000,20.254629101,109.750000000,20.254629101,79.250000000,16.479785597,9515.250000000,1971.113961698,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1090,4,142.750000000,4.349329450,142.000000000,4.082482905,110.750000000,9.810708435,13297.000000000,1172.785288675,0.000000000,0.000000000,0.750000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.005198979,0.006715624
1312,4,163.750000000,20.006249024,161.750000000,19.155068955,133.500000000,17.597348285,16020.000000000,2111.681794210,0.000000000,0.000000000,2.000000000,3.366501646,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,3.366501646,0.011629798,0.019295856
1535,4,205.500000000,12.396235988,204.250000000,13.326039672,177.000000000,12.727922061,21311.750000000,1588.174292492,0.000000000,0.000000000,1.250000000,1.258305739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,1.258305739,0.006311730,0.006746977
1757,4,235.750000000,14.244882122,233.500000000,14.977761292,204.500000000,12.069244660,24615.250000000,1506.160543678,0.000000000,0.000000000,2.250000000,2.217355783,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.250000000,2.217355783,0.009694456,0.010004173
1980,4,251.500000000,20.469489490,244.250000000,18.463928798,218.500000000,14.708274315,26291.750000000,1810.198584870,0.000000000,0.000000000,7.250000000,5.377421935,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.250000000,5.377421935,0.028309357,0.019751288
2202,4,288.000000000,19.849433241,279.500000000,15.758595538,252.750000000,13.022416570,30496.250000000,1582.279236839,0.000000000,0.000000000,8.500000000,11.561430131,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.500000000,11.561430131,0.028327183,0.037896881
