rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,5.750000000,2.872281323,690.000000000,344.673758792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
366,4,40.000000000,8.286535263,40.000000000,8.286535263,17.750000000,6.500000000,2130.000000000,780.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
533,4,74.750000000,15.734781007,74.750000000,15.734781007,44.250000000,12.065791865,5310.000000000,1447.895023819,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
699,4,86.250000000,10.404326023,86.250000000,10.404326023,55.500000000,8.736894948,6682.750000000,1015.928270106,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
866,4,108.250000000,12.685293322,108.250000000,12.685293322,76.250000000,12.685293322,9172.750000000,1557.770923467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1032,4,125.000000000,10.099504938,125.000000000,10.099504938,94.750000000,8.995369179,11392.750000000,1082.726304289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1198,4,151.000000000,15.165750888,151.000000000,15.165750888,124.250000000,15.755951257,14976.500000000,1869.376455756,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1365,4,186.750000000,14.103781999,186.750000000,14.103781999,156.250000000,13.937359865,18890.000000000,1759.543311961,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1531,4,196.750000000,7.889866919,196.750000000,7.889866919,173.500000000,10.472185382,20956.500000000,1237.439695500,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1697,4,216.000000000,3.651483717,216.000000000,3.651483717,189.250000000,7.804912983,22864.000000000,964.981174255,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1864,4,233.750000000,12.257650672,233.750000000,12.257650672,209.250000000,10.657548186,25267.500000000,1327.053251883,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2030,4,268.000000000,10.000000000,268.000000000,10.000000000,241.750000000,8.180260795,29248.000000000,928.038433112,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2197,4,283.250000000,8.098353742,283.250000000,8.098353742,258.750000000,6.291528696,31232.000000000,766.908512579,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2363,4,315.750000000,16.028620236,315.750000000,16.028620236,295.500000000,15.351438586,35715.500000000,1796.704112164,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2529,4,321.500000000,19.467922334,321.500000000,19.467922334,298.750000000,13.149778198,36054.750000000,1756.836052871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2696,4,350.250000000,23.099422792,350.250000000,23.099422792,328.750000000,21.297495940,39892.750000000,2731.289606883,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2862,4,367.250000000,4.573474245,367.250000000,4.573474245,340.250000000,4.193248542,41206.250000000,413.769158670,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3029,4,393.500000000,16.441816607,393.250000000,16.560495162,369.250000000,20.105969263,44577.750000000,2400.116577030,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000644330,0.001288660
3195,4,413.250000000,26.998456746,413.250000000,26.998456746,386.000000000,26.882460205,46846.750000000,3360.881469198,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3361,4,419.500000000,25.093159759,419.500000000,25.093159759,396.250000000,23.357725346,48110.000000000,2879.803812762,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3528,4,459.250000000,14.591664287,459.250000000,14.591664287,433.250000000,13.400870618,52548.250000000,1648.457334399,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3694,4,471.000000000,9.128709292,470.750000000,9.069178574,447.750000000,10.210288928,54295.250000000,1121.709818387,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000528541,0.001057082
3861,4,488.000000000,24.725155881,487.750000000,24.349880219,459.250000000,26.004807248,55911.500000000,3088.069569596,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000484496,0.000968992
4027,4,520.500000000,24.076267706,520.250000000,23.641418457,490.250000000,15.924300089,59591.250000000,2089.577848115,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000452899,0.000905797
4193,4,537.500000000,9.949874371,537.500000000,9.949874371,511.250000000,11.926860442,62015.000000000,1300.699811640,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
4360,4,557.250000000,19.067861268,557.250000000,19.067861268,528.000000000,16.268579123,64082.750000000,2023.374635767,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
4526,4,565.250000000,24.878035828,564.750000000,24.377243486,536.500000000,23.572582944,65221.750000000,3058.149154309,0.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.000000000,0.000000000,0.000856589,0.000989594
4692,4,580.000000000,30.309514458,579.500000000,30.182776546,550.000000000,26.919633479,66883.750000000,3317.810761632,0.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.000000000,0.000000000,0.000856297,0.000992288
4859,4,611.000000000,10.862780491,610.750000000,10.750968949,580.500000000,6.608075867,70788.750000000,808.488043614,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000406504,0.000813008
5025,4,641.000000000,7.831560083,640.750000000,7.932002690,611.750000000,7.804912983,74281.500000000,1109.342898597,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000391236,0.000782473
5192,4,637.250000000,38.724453945,636.750000000,39.024564913,606.250000000,33.049205739,74031.000000000,4061.057579827,0.500000000,0.577350269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.577350269,0.000000000,0.000000000,0.000809492,0.000938226
5358,4,688.000000000,21.369760566,687.750000000,21.234798484,657.500000000,20.338797080,80266.750000000,2563.528476534,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000358680,0.000717360
5524,4,712.500000000,34.693899560,711.250000000,34.325646389,674.250000000,37.366428783,82453.500000000,4630.818682119,1.250000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,0.957427108,0.000000000,0.000000000,0.001738260,0.001345447
5691,4,740.500000000,27.598309127,740.250000000,27.256497696,700.000000000,23.380903889,85683.500000000,3062.324770497,0.250000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.500000000,0.000000000,0.000000000,0.000325098,0.000650195
5857,4,765.000000000,40.348482004,764.250000000,40.450587140,722.750000000,37.259227045,88345.250000000,4812.638595407,0.750000000,0.957427108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.750000000,0.957427108,0.000000000,0.000000000,0.000986608,0.001235106
6024,4,767.250000000,35.780581326,766.750000000,34.893886762,724.000000000,32.792275513,88721.000000000,3929.024391203,0.500000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,1.000000000,0.000000000,0.000000000,0.000613497,0.001226994
6190,4,768.500000000,17.097758138,767.500000000,17.000000000,724.500000000,20.469489490,88807.250000000,2428.347088728,1.000000000,0.816496581,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.816496581,0.000000000,0.000000000,0.001299081,0.001078900
6356,4,785.500000000,31.838132274,784.000000000,32.994949108,747.750000000,30.170349683,91597.250000000,3569.085538809,1.500000000,1.290994449,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.500000000,1.290994449,0.000000000,0.000000000,0.001956933,0.001725282
6523,4,863.000000000,29.234682599,862.000000000,28.751811537,814.000000000,21.354156504,99739.750000000,2974.034226994,1.000000000,1.154700538,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.154700538,0.000000000,0.000000000,0.001145340,0.001323882
6689,4,837.750000000,32.988634406,836.000000000,34.097898273,791.500000000,41.267420564,97006.500000000,4755.033157964,1.750000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.750000000,1.707825128,0.000000000,0.000000000,0.002128197,0.002067150
