rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
200,4,24.750000000,3.862210075,24.750000000,3.862210075,5.750000000,2.872281323,690.000000000,344.673758792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
422,4,53.250000000,5.909032634,53.250000000,5.909032634,28.500000000,6.137317547,3420.000000000,736.478105581,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
645,4,82.250000000,14.150971698,82.250000000,14.150971698,54.000000000,8.831760866,6502.750000000,1018.778803274,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
867,4,109.750000000,20.254629101,109.750000000,20.254629101,79.250000000,16.479785597,9515.250000000,1971.113961698,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1090,4,142.750000000,4.349329450,142.750000000,4.349329450,111.500000000,10.214368964,13408.000000000,1221.139358687,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1312,4,163.750000000,20.006249024,163.750000000,20.006249024,135.500000000,18.770544300,16307.250000000,2295.981326144,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1535,4,205.500000000,12.396235988,205.500000000,12.396235988,178.250000000,11.954775894,21484.500000000,1459.690035590,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1757,4,235.750000000,14.244882122,235.750000000,14.244882122,206.750000000,11.729592207,24927.250000000,1484.409506616,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1980,4,251.500000000,20.469489490,251.500000000,20.469489490,225.000000000,15.470401848,27255.500000000,1966.000084774,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2202,4,288.000000000,19.849433241,288.000000000,19.849433241,261.000000000,17.530925056,31600.000000000,2228.521482957,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
