rate_hz_per_channel,repeats,dead_fraction_mean,dead_fraction_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std
1000,1,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1684,1,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2368,1,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
3053,1,0.090909,0.0,10.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
3737,1,0.090909,0.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
4421,1,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
5105,1,0.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
5789,1,0.047619,0.0,20.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0
6474,1,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
7158,1,0.130434,0.0,20.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0
7842,1,0.125,0.0,28.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0
8526,1,0.137931,0.0,25.0,0.0,26.0,0.0,3.0,0.0,1.0,0.0
9211,1,0.173913,0.0,19.0,0.0,22.0,0.0,4.0,0.0,0.0,0.0
9895,1,0.181818,0.0,27.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0
10579,1,0.111111,0.0,32.0,0.0,26.0,0.0,4.0,0.0,0.0,0.0
11263,1,0.219512,0.0,32.0,0.0,30.0,0.0,8.0,0.0,0.0,0.0
11947,1,0.128205,0.0,34.0,0.0,33.0,0.0,4.0,0.0,1.0,0.0
12632,1,0.193548,0.0,25.0,0.0,31.0,0.0,4.0,0.0,1.0,0.0
13316,1,0.275,0.0,29.0,0.0,30.0,0.0,9.0,0.0,1.0,0.0
14000,1,0.225,0.0,31.0,0.0,31.0,0.0,7.0,0.0,1.0,0.0
